source,unit_id,unit_type,year,volume,issue,n_eligible_items,unit_url
npj Computational Materials,npj_computational_materials_v1_i1,journal_issue,2015,1,1,7,
npj Computational Materials,npj_computational_materials_v10_i1,journal_issue,2024,10,1,284,
npj Computational Materials,npj_computational_materials_v11_i1,journal_issue,2025,11,1,353,
npj Computational Materials,npj_computational_materials_v12_i1,journal_issue,2025,12,1,36,
npj Computational Materials,npj_computational_materials_v2_i1,journal_issue,2016,2,1,24,
npj Computational Materials,npj_computational_materials_v3_i1,journal_issue,2017,3,1,48,
npj Computational Materials,npj_computational_materials_v4_i1,journal_issue,2018,4,1,72,
npj Computational Materials,npj_computational_materials_v5_i1,journal_issue,2019,5,1,118,
npj Computational Materials,npj_computational_materials_v6_i1,journal_issue,2020,6,1,172,
npj Computational Materials,npj_computational_materials_v7_i1,journal_issue,2021,7,1,180,
npj Computational Materials,npj_computational_materials_v8_i1,journal_issue,2022,8,1,246,
npj Computational Materials,npj_computational_materials_v9_i1,journal_issue,2023,9,1,220,
