unit_id,unit_type,year,date,unit_label,unit_url
computational_brain_behavior_2018_v1_i2,journal_issue_or_year,2018,2018-06-01,"vol. 1, issue 2",https://doi.org/10.1007/s42113-018-0007-3
computational_brain_behavior_2018_v2_i2,journal_issue_or_year,2018,2018-12-18,"vol. 2, issue 2",https://doi.org/10.1007/s42113-018-0021-5
computational_brain_behavior_2019_v2_i3_4,journal_issue_or_year,2019,2019-04-24,"vol. 2, issue 3-4",https://doi.org/10.1007/s42113-019-00029-y
computational_brain_behavior_2019_v3_i1,journal_issue_or_year,2019,2019-05-20,"vol. 3, issue 1",https://doi.org/10.1007/s42113-019-00031-4
computational_brain_behavior_2019_v3_i2,journal_issue_or_year,2019,2019-06-19,"vol. 3, issue 2",https://doi.org/10.1007/s42113-019-00032-3
computational_brain_behavior_2020_v3_i3,journal_issue_or_year,2020,2020-01-28,"vol. 3, issue 3",https://doi.org/10.1007/s42113-020-00074-y
computational_brain_behavior_2020_v4_i1,journal_issue_or_year,2020,2020-06-19,"vol. 4, issue 1",https://doi.org/10.1007/s42113-020-00087-7
computational_brain_behavior_2020_v4_i2,journal_issue_or_year,2020,2020-09-09,"vol. 4, issue 2",https://doi.org/10.1007/s42113-020-00090-y
computational_brain_behavior_2020_v4_i3,journal_issue_or_year,2020,2020-11-25,"vol. 4, issue 3",https://doi.org/10.1007/s42113-020-00097-5
computational_brain_behavior_2021_v4_i3,journal_issue_or_year,2021,2021-04-09,"vol. 4, issue 3",https://doi.org/10.1007/s42113-021-00100-7
computational_brain_behavior_2021_v4_i4,journal_issue_or_year,2021,2021-09-01,"vol. 4, issue 4",https://doi.org/10.1007/s42113-021-00111-4
computational_brain_behavior_2021_v5_i1,journal_issue_or_year,2021,2021-11-30,"vol. 5, issue 1",https://doi.org/10.1007/s42113-021-00124-z
computational_brain_behavior_2021_v6_i1,journal_issue_or_year,2021,2021-07-06,"vol. 6, issue 1",https://doi.org/10.1007/s42113-021-00113-2
computational_brain_behavior_2022_v5_i1,journal_issue_or_year,2022,2022-01-14,"vol. 5, issue 1",https://doi.org/10.1007/s42113-021-00122-1
computational_brain_behavior_2022_v5_i2,journal_issue_or_year,2022,2022-03-08,"vol. 5, issue 2",https://doi.org/10.1007/s42113-022-00130-9
computational_brain_behavior_2022_v5_i3,journal_issue_or_year,2022,2022-05-25,"vol. 5, issue 3",https://doi.org/10.1007/s42113-022-00140-7
computational_brain_behavior_2022_v5_i4,journal_issue_or_year,2022,2022-07-18,"vol. 5, issue 4",https://doi.org/10.1007/s42113-022-00135-4
computational_brain_behavior_2022_v6_i2,journal_issue_or_year,2022,2022-07-11,"vol. 6, issue 2",https://doi.org/10.1007/s42113-022-00145-2
computational_brain_behavior_2022_v6_i3,journal_issue_or_year,2022,2022-11-11,"vol. 6, issue 3",https://doi.org/10.1007/s42113-022-00156-z
computational_brain_behavior_2023_v6_i3,journal_issue_or_year,2023,2023-01-03,"vol. 6, issue 3",https://doi.org/10.1007/s42113-022-00162-1
computational_brain_behavior_2023_v6_i4,journal_issue_or_year,2023,2023-03-20,"vol. 6, issue 4",https://doi.org/10.1007/s42113-022-00165-y
computational_brain_behavior_2023_v7_i1,journal_issue_or_year,2023,2023-08-03,"vol. 7, issue 1",https://doi.org/10.1007/s42113-023-00179-0
computational_brain_behavior_2024_v7_i1,journal_issue_or_year,2024,2024-01-05,"vol. 7, issue 1",http://dx.doi.org/10.1007/s42113-023-00195-0
computational_brain_behavior_2024_v7_i2,journal_issue_or_year,2024,2024-02-29,"vol. 7, issue 2",http://dx.doi.org/10.1007/s42113-024-00197-6
computational_brain_behavior_2024_v7_i3,journal_issue_or_year,2024,2024-03-05,"vol. 7, issue 3",https://doi.org/10.1007/s42113-024-00199-4
computational_brain_behavior_2024_v8_i1,journal_issue_or_year,2024,2024-02-21,"vol. 8, issue 1",https://doi.org/10.1007/s42113-024-00198-5
computational_brain_behavior_2024_v8_i2,journal_issue_or_year,2024,2024-11-07,"vol. 8, issue 2",https://doi.org/10.1007/s42113-024-00228-2
computational_brain_behavior_2025_v8_i2,journal_issue_or_year,2025,2025-01-22,"vol. 8, issue 2",https://doi.org/10.1007/s42113-024-00229-1
computational_brain_behavior_2025_v8_i3,journal_issue_or_year,2025,2025-03-24,"vol. 8, issue 3",https://doi.org/10.1007/s42113-025-00238-8
computational_brain_behavior_2025_v8_i4,journal_issue_or_year,2025,2025-04-09,"vol. 8, issue 4",https://doi.org/10.1007/s42113-025-00244-w
computational_brain_behavior_2025_v9_i1,journal_issue_or_year,2025,2025-06-20,"vol. 9, issue 1",https://doi.org/10.1007/s42113-025-00252-w
computational_brain_behavior_2025_v9_i2,journal_issue_or_year,2025,2025-12-24,"vol. 9, issue 2",https://doi.org/10.1007/s42113-025-00260-w
